,class
eat,manner
admit,result
approach,result
bash,manner
arrive,result
bellow,manner
break,result
clean,result
crawl,manner
clear,result
come,result
cover,result
dance,manner
declare,result
destroy,result
devour,result
die,result
empty,result
enter,result
faint,result
fall,result
fill,result
flutter,manner
freeze,result
go,result
hop,manner
hit,manner
increase,result
jog,manner
jump,manner
kill,result
laugh,manner
melt,result
near,result
nibble,manner
open,result
pour,manner
proclaim,result
propose,result
remove,result
rise,result
roll,manner
rub,manner
run,manner
say,result
scream,manner
shatter,result
scour,manner
scribble,manner
scrub,manner
shake,manner
shout,manner
spin,manner
sweep,manner
swim,manner
walk,manner
whisper,manner
wipe,manner
yell,manner
