verb,class
eaten,manner
admitted,result
approached,result
bashed,manner
arrived,result
bellowed,manner
broken,result
cleaned,result
crawled,manner
cleared,result
come,result
covered,result
danced,manner
declared,result
destroyed,result
devoured,result
died,result
emptied,result
entered,result
fainted,result
fallen,result
filled,result
fluttered,manner
frozen,result
gone,result
hopped,manner
hit,manner
increased,result
jogged,manner
jumped,manner
killed,result
laughed,manner
molten,result
neared,result
nibbled,manner
opened,result
poured,manner
proclaimed,result
proposed,result
removed,result
risen,result
rolled,manner
rubbed,manner
run,manner
said,result
screamed,manner
shattered,result
scoured,manner
scribbled,manner
scrubbed,manner
shaken,manner
shouted,manner
spun,manner
swept,manner
swam,manner
walked,manner
whispered,manner
wiped,manner
yelled,manner
