verb,class,sense_1,sense_2,sense_3,sense_4,sense_5
eat,manner,1,2,3,5,6
admit,result,1,,,,
approach,result,1,4,,,
arrive,result,1,,,,
bellow,manner,1,2,,,
break,result,2,3,4,5,36
clean,result,1,2,3,4,8
crawl,manner,1,,,,
clear,result,1,2,3,5,20
come,result,1,2,,,
cover,result,1,2,19,,
dance,manner,1,2,3,,
declare,result,1,2,3,4,7
destroy,result,1,2,3,4,
die,result,1,2,4,,
empty,result,1,2,3,4,
enter,result,1,2,3,,
fall,result,1,2,,,
fill,result,1,2,,,
flutter,manner,1,2,3,4,5
freeze,result,1,2,4,5,7
go,result,1,3,,,
hop,manner,1,2,5,6,
hit,manner,2,3,6,10,12
increase,result,1,2,,,
jog,manner,3,4,,,
jump,manner,1,4,8,11,
kill,result,1,4,9,10,14
laugh,manner,1,,,,
melt,result,1,2,5,6,
near,result,1,,,,
open,result,1,3,,,
pour,manner,1,3,4,5,
proclaim,result,1,2,3,4,
propose,result,1,2,3,,
remove,result,1,2,3,4,8
rise,result,1,2,4,5,11
roll,manner,1,9,11,13,14
rub,manner,1,2,3,,
run,manner,1,2,11,26,34
say,result,1,2,3,5,6
scream,manner,1,2,3,,
shatter,result,1,2,3,,
scrub,manner,1,2,,,
shake,manner,1,2,3,4,9
shout,manner,1,2,3,4,
spin,manner,1,3,,,
sweep,manner,1,3,6,9,
swim,manner,1,2,5,,
walk,manner,1,2,8,9,10
whisper,manner,1,,,,
wipe,manner,1,,,,
yell,manner,1,2,,,
