verb,class
eats,manner
admits,result
approaches,result
bashes,manner
arrives,result
bellows,manner
breaks,result
cleans,result
crawls,manner
clears,result
comes,result
covers,result
dances,manner
declares,result
destroys,result
devours,result
dies,result
empties,result
enters,result
faints,result
falls,result
fills,result
flutters,manner
freezes,result
goes,result
hops,manner
hits,manner
increases,result
jogs,manner
jumps,manner
kills,result
laughs,manner
melts,result
nears,result
nibbles,manner
opens,result
pours,manner
proclaims,result
proposes,result
removes,result
rises,result
rolls,manner
rubs,manner
runs,manner
says,result
screams,manner
shatters,result
scours,manner
scribbles,manner
scrubs,manner
shakes,manner
shouts,manner
spins,manner
sweeps,manner
swims,manner
walks,manner
whispers,manner
wipes,manner
yells,manner
