verb,class
ate,manner
admitted,result
approached,result
arrived,result
bellowed,manner
broke,result
cleaned,result
crawled,manner
cleared,result
came,result
covered,result
danced,manner
declared,result
destroyed,result
died,result
emptied,result
entered,result
fell,result
filled,result
fluttered,manner
froze,result
went,result
hopped,manner
hit,manner
increased,result
jogged,manner
jumped,manner
killed,result
laughed,manner
melted,result
neared,result
opened,result
poured,manner
proclaimed,result
proposed,result
removed,result
rose,result
rolled,manner
rubbed,manner
ran ,manner
said,result
screamed,manner
shattered,result
scrubbed,manner
shook,manner
shouted,manner
spun,manner
swept,manner
swam ,manner
walked,manner
whispered,manner
wiped,manner
yelled,manner
