Token,Surprisal,Verb
john,10.102544014316951,scrubbed
scrubbed,9.590338190314515,scrubbed
the,0.007818756241493195,scrubbed
tub,9.512712194607872,scrubbed
",",0.03774469818421002,scrubbed
but,0.2206221868682063,scrubbed
he,0.28238642999567365,scrubbed
didn,0.04559058001457123,scrubbed
',3.4396534272948306e-07,scrubbed
t,-0.0,scrubbed
move,0.002326219932219359,scrubbed
a,0.009537539644965813,scrubbed
muscle,0.0029293427488725227,scrubbed
.,0.0003822820851926566,scrubbed
john,9.34090834360202,broke
broke,13.996597383367824,broke
the,0.07566653415159476,broke
tv,17.327632067654047,broke
",",0.21689085189436982,broke
but,0.15898280142582452,broke
he,0.4374059805317111,broke
didn,0.02516664022687756,broke
',1.5478446880940214e-06,broke
t,-0.0,broke
move,0.016208581201347307,broke
a,0.01630302597990855,broke
muscle,0.006428825484180094,broke
.,0.0027492668278315036,broke
john,10.69281364670461,walked
walked,15.957225803167635,walked
",",1.1946830861640407,walked
but,0.21609124274760075,walked
he,0.11666983663804996,walked
didn,0.018855549132687742,walked
',1.3758618629646341e-06,walked
t,-0.0,walked
move,0.007593462657410591,walked
a,0.00899031387365929,walked
muscle,0.01500343133732733,walked
.,0.0005749665678589777,walked
john,7.643033627065775,arrived
arrived,13.91123698941605,arrived
",",0.20684283948118024,arrived
but,0.3333982495610679,arrived
he,0.18133367041513845,arrived
didn,0.009820450986510179,arrived
',1.8918103998587215e-06,arrived
t,-0.0,arrived
move,0.004709080802722256,arrived
a,0.011304219712408008,arrived
muscle,0.002836803319798987,arrived
.,0.001605921565394908,arrived
john,9.190260225806531,thought
thought,7.616612107909306,thought
",",0.06424611765903598,thought
but,0.08806003485457858,thought
he,0.16785700632194514,thought
didn,0.6485711371171379,thought
',3.4396534272948306e-07,thought
t,-0.0,thought
move,0.004919946121688962,thought
a,0.015727235007836186,thought
muscle,0.0027360851193879666,thought
.,0.0012116104549739861,thought
